SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
1RXSJ180408.9-342058,90102003002,A,SAX_J1808d4m3658,4.92678E+04,272.1324,-36.9541,159.4761,1,Y,"Strong SL, unknown?"
1RXSJ180408.9-342058,90102003004,A,SAX_J1808d4m3658,2.15088E+04,272.1424,-36.951,168.1145,1,Y,"Strong, unident SL"
1RXSJ180408.9-342058,90102003004,B,SAX_J1808d4m3658,2.15088E+04,272.1424,-36.951,168.1145,1,Y,"Strong, unident SL"
2MASX J09172716-6456271,60401020002,A,IRAS_09149m6206,1.10899E+05,138.9791,-62.3074,50.7186,1,N,SL on both
2MASX J09172716-6456271,60401020002,B,IRAS_09149m6206,1.10899E+05,138.9791,-62.3074,50.7186,0,N,SL in both 
2MASX J09172716-6456271,90401630002,A,IRAS_09149m6206,1.12121E+05,138.9974,-62.2807,85.9087,1,N,SL in both
3C 273,60301018002,A,J1222p0403,3.22210E+04,185.5694,4.2124,357.6845,2,N,SL in both
4U 0614+091,60161267002,B,2MASXJ06262702p0727287,1.83565E+04,96.6432,7.4365,270.1777,0,Y,SL on B
4U 1323-619,60201041002,A,4U_1344m60,9.94643E+04,206.8407,-60.6179,30.2668,2,Y,"In A only, faint"
4U 1323-619,90401326002,A,GX304m1,5.80869E+04,195.3256,-61.6271,315.0129,0,Y,SL on both A and B
4U 1323-619,90401326002,B,GX304m1,5.80869E+04,195.3256,-61.6271,315.0129,2,Y,Faint
4U 1538-522,30101035002,A,1E_1547d0m5408,8.33876E+04,237.7768,-54.302,208.3465,1,Y,"Strong SL in both, second source."
4U 1538-522,30101035002,B,1E_1547d0m5408,8.33876E+04,237.7768,-54.302,208.3465,0,Y,Strong SL in both
4U 1538-522,30401008002,A,1E_1547d0m5408,9.04685E+04,237.7784,-54.2798,162.8053,1,N,SL in both
4U 1538-522,30401008002,B,1E_1547d0m5408,9.04685E+04,237.7784,-54.2798,162.8053,1,N,Strong SL in both (Check A)
4U 1538-522,40201010002,B,SNR_G327d1m1d1,8.47613E+04,238.6185,-55.0995,292.5003,2,Y,Corner SL on B
4U 1608-522,80202051006,A,PSR_J1622m4950,1.26334E+05,245.6545,-49.8645,342.9812,0,Y,Strong SL
4U 1624-490,30001012002,B,NuSTARJ163433m473841,1.65999E+04,248.6712,-47.6363,171.983,1,Y,"GR + multiple SL. Not sure about the 4U 1624-490 ID, reverting to ??"
4U 1624-490,30001016002,B,4U1630m47,2.20718E+04,248.5333,-47.3794,164.6452,0,Y,"Not sure about the 4U 1624-490 ID, reverting to ??"
4U 1624-490,30001017002,B,CXOUJ163515d1m472304,4.98337E+04,248.8967,-47.3835,210.3881,0,Y,"Strong SL, mismatch (GX 340?)"
4U 1624-490,30001033002,A,CXOUJ163750d8m465545,5.19864E+04,249.4897,-46.9014,145.8254,0,Y,"Two SL, one unident"
4U 1624-490,30001033002,B,CXOUJ163750d8m465545,5.19864E+04,249.4897,-46.9014,145.8254,0,Y,Multiple overlapping
4U 1624-490,30002021005,B,HESSJ1640m465,1.01762E+05,250.2036,-46.5094,161.2653,1,Y,Corner of of FoV SL
4U 1624-490,30002021007,B,HESSJ1640m465,3.69876E+04,250.2027,-46.5144,161.2702,2,Y,Corner SL
4U 1624-490,30002021009,B,HESSJ1640m465,3.36925E+04,250.2175,-46.5087,166.7254,0,Y,"Corner SL on B only, no match"
4U 1624-490,30002021011,B,HESSJ1640m465,2.25405E+04,250.2296,-46.5011,179.7925,0,Y,"Corner SL on B only, no match"
4U 1624-490,30002021025,A,HESSJ1640m465,2.19411E+04,250.1569,-46.5397,330.9082,2,Y,"Corner of SL on A, transmission SL on B"
4U 1624-490,30002021027,A,HESSJ1640m465,2.03526E+04,250.1477,-46.5523,344,X,Y,"Slice on B, corner on A "
4U 1624-490,30002021029,A,HESSJ1640m465,2.22180E+04,250.1247,-46.5391,356.5397,1,Y,Corner SL on A
